title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Hilbert: Recursively building formal proofs with informal reasoning,"S Varambally, T Voice, Y Sun, Z Chen…",2026,46,"… mathematical reasoning and formal verification … formal statement in Lean 4, we first attempt direct proof using the Prover. It generates Kinitial proof = 4 candidate proofs, which we verify …",WesP8VNGKgYJ,"S Varambally, T Voice, Y Sun, Z Chen… - International …, 2026 - proceedings.iclr.cc",['https://proceedings.iclr.cc/paper_files/paper/2026/file/41b95e8ee0e054dab145a7564d9cd58a-Paper-Conference.pdf'],https://proceedings.iclr.cc/paper_files/paper/2026/hash/41b95e8ee0e054dab145a7564d9cd58a-Abstract-Conference.html,unknown,unknown
Ax-prover: A deep reasoning agentic framework for theorem proving in mathematics and quantum physics,"B Breen, M Del Tredici, J McCarran…",2026,15,… on two public math benchmarks and on two Lean benchmarks that … language and interactive proof assistant. Together with its … Formalize: Single Step To formally verify the math in this …,DqqSfsLM_WoJ,"B Breen, M Del Tredici, J McCarran… - Machine Learning …, 2026 - iopscience.iop.org",['https://iopscience.iop.org/article/10.1088/2632-2153/ae9452/pdf'],https://iopscience.iop.org/article/10.1088/2632-2153/ae9452/meta,unknown,unknown
Mathematical Formalized Problem Solving and Theorem Proving in Different Fields in Lean 4,X Tang,2024,1,"… of Lean 4 to formalize proofs in various fields of mathematics, … Lean 4, ensuring that your formalized theorems are correct relies on Lean 4's built-in proof assistant and formal verification …",sETvw-u9KCUJ,"X Tang - arXiv preprint arXiv:2409.05977, 2024 - arxiv.org",['https://arxiv.org/pdf/2409.05977?'],https://arxiv.org/abs/2409.05977,unknown,unknown
Mathesis: Towards formal theorem proving from natural languages,"X Yu, J Zhong, Z Feng, P Zhai, R Mohit…",2026,3,"… , transferable to other proof assistants such as Isabelle. We focus on Lean 4 due to its broad … model designed to translate informal mathematical problem statements from NL into formal …",MSbbFCUaw3QJ,"X Yu, J Zhong, Z Feng, P Zhai, R Mohit… - International …, 2026 - proceedings.iclr.cc",['https://proceedings.iclr.cc/paper_files/paper/2026/file/93d5797656d3e70dca7535160a1458f3-Paper-Conference.pdf'],https://proceedings.iclr.cc/paper_files/paper/2026/hash/93d5797656d3e70dca7535160a1458f3-Abstract-Conference.html,unknown,unknown
CircuitProver: Agentic Lean 4 Theorem Proving with Reusable Circuit Proof Library for Hardware Verification,"Z Yang, W Fang, C Chen, Z Xie, H Zhang",2026,0,"… Lean 4based verification framework supporting proof-accumulation and parameterized … Lean 4 is a modern interactive theorem prover widely used in mathematics, software verification…",-KEI9145SboJ,"Z Yang, W Fang, C Chen, Z Xie, H Zhang - arXiv preprint arXiv …, 2026 - arxiv.org",['https://arxiv.org/pdf/2607.27259'],https://arxiv.org/abs/2607.27259,unknown,unknown
Ax-Prover: Agentic LEAN Proving with LLMs and MCP-based Verifiers,"M Del Tredici, J McCarran, B Breen, JA Mijares…",2025,0,"… Lean theorem proving that equips generalpurpose LLMs with direct access to the Lean proof … To formally verify the math in this paper, we used an autoformalization agent to formalize …",sA6xlDBuygoJ,"M Del Tredici, J McCarran, B Breen, JA Mijares… - 2025 - openreview.net",['https://openreview.net/pdf?id=yLp3dx3HjU'],https://openreview.net/forum?id=yLp3dx3HjU,unknown,unknown
FormaTheoria: Constructing Large-Scale Lean Theories from Mathematical Literature  Toward the Formalization of the Classification of Finite Simple Groups,"T Nie, A Zhang, Y Tang, D Testa, ST Yau, P Li…",2026,0,"… proving. These developments demonstrate the growing capacity of formal methods to verify sophisticated mathematics, … that proof assistants can verify mathematical arguments whose …",KeRpTD16x3MJ,"T Nie, A Zhang, Y Tang, D Testa, ST Yau, P Li… - arXiv preprint arXiv …, 2026 - arxiv.org",['https://arxiv.org/pdf/2608.10894'],https://arxiv.org/abs/2608.10894,unknown,unknown
A Mathematical Model of Automatic Verification of Formalized Proofs and a Conservative Presentation Interface over Lean,"O Yevdokymov, O Luchsheva",2026,0,… It is precisely this property that provides a mathematical justification for an AI-generated learning module built over formally verified theorems. The generative component may produce …,Cor4XqjblbIJ,"O Yevdokymov, O Luchsheva - … , series «Mathematical …, 2026 - periodicals.karazin.ua",['https://periodicals.karazin.ua/mia/article/download/29403/25361'],https://periodicals.karazin.ua/mia/article/download/29403/25361,unknown,unknown
